fin	feature	left_context	kwic	right_context
kell	inf_form		Kelleni fog	az útra egy kis pénz.
kell	inf_form		Fog ehhez kelleni	egy kis idő/hely.
kell	inf_form		Kelleni penig kéne	.
kell	FIN INF		Kellene tudnia	a nevét.
kell	FIN INF		Kellett ismernie	.
kell	FIN INF		Kellene alakítani	egy asszonybrigádot.
kell	FIN INF	-	Kéne pödörni	.
kell	FIN INF		Kellene például prózával is próbálkozni	.
kell	FIN INF		Kell változnia	: egy-egy kor megköveteli a maga saját művészetét.
kell	FIN INF		Kellett járni	valami mantu oltásra.
kell	FIN INF		Kell is a Dídóra vigyázni	...
kell	FIN INF		Kell is hallgatnunk	...
kell	FIN INF		Kellene valamit írni	a múltról.
kell	FIN INF		Kellene mondania	Ciberének.
kell	FIN INF		Kell találnunk	vénát.
kell	FIN INF		Kell már vinni	neki egy üveg sört.
kell	FIN INF		Kellene egy esernyőt venni	.
kell	FIN INF		Kell tennünk	valamit.
kell	FIN INF		Kellene egy esernyőt venni	.
kell	FIN INF		Kell értenie	.
kell	FIN INF		Kell vennem	egy kabátot...
kell	FIN INF		Kell találnunk	vénát.
kell	FIN INF		Kell már vinni	neki egy üveg sört.
kell	FIN INF		Kellett az örményeknek megint ugrálniuk	...
kell	FIN INF	-	Kell hazudni	.
kell	FIN INF		Kellett neked bolondítani	a szerencsétlent!?...
kell	FIN INF	-	Kell kapaszkodni	valamibe...
kell	FIN INF	-	Kell lenni	valahol egy magnak...
kell	FIN INF		Kell lennie	.
kell	FIN INF		Kell lenni	rendnek.
kell	FIN INF		Kell lenni	valami változatlanul érvényesnek a folyton változóban.
kell	FIN INF		Kell levegőznöm	.
kell	FIN INF		Kell neki csinálni	ezt a ronda dolgot.
kell	FIN INF		Kellene Hirschnek szólni	.
kell	FIN INF		Kell lenni	valahol még valakiknek...
kell	FIN INF		Kéne neki szólni	.
kell	FIN INF		Kéne történnie	valaminek.
kell	FIN INF		Kell valakit szereznem	.
kell	FIN INF	-	Kellett volna sikerülni	.
kell	FIN INF	-	Kellett volna sikerülni	.
kell	FIN INF		Kellene írnom	egy csomó alkalmi dolgot.
kell	FIN INF		Kell valami perspektívát találniuk	.
kell	FIN INF		Kelle nyomnia	...
kell	FIN INF		Kéne neki egy zászlót adni	.
kell	FIN INF	-	Kellett a barátunknak biciklizni	...
kell	FIN INF		Kell valami mérhetetlen nagy erőnek lenni	az emberben.
kell	FIN INF		Kell lenni	valami “ kéjnek “ az egészben.
kell	FIN INF	-	Kell venned	egy rendes öltönyt.
kell	FIN INF	-	Kellene írnod	egy riportkönyvet Izraelről.
kell	FIN INF	-	Kellene írnod	egy riportkönyvet Izraelről.
kell	FIN INF	-	Kell neki csinálni	egy új fejet.
kell	FIN INF		Kellett lenni	egy közelebbi oknak is.
kell	FIN INF	-	Kellene venni	egy üveg bort.
kell	FIN INF		Kellett nekem udvariasnak lennem	.
kell	FIN INF		Kell is jönnie	.
kell	FIN INF		Kell is azokat szerezni	.
kell	FIN INF		Kell benne lenni	valaminek...
kell	FIN INF		Kell még száz és száz hídnak lennie	.
